index,soc_fil,MLP,PWL
13356,87.70273495572154,88.19215061304715,84.58206089170251
13357,87.70962983220609,88.19152873543646,84.58134277346026
13358,87.71512495311889,88.19344681663063,84.58197622312628
13359,87.7281291541548,88.2044161052778,84.59090908202886
13360,87.75620947259031,88.21586040196564,84.60027749004485
13361,87.78942667906739,88.21863751275089,84.6016986222179
13362,87.80387702237077,88.21780715299394,84.6008713203767
13363,87.78522924325146,88.21992519659545,84.60168812066073
13364,87.7425267772412,88.23147001651671,84.61114870696457
13365,87.69460774612135,88.24275128705051,84.62036763072697
13366,87.65003088154458,88.24657197458293,84.62274565341015
13367,87.60700599219375,88.25715743539479,84.63132655903344
13368,87.56620205316062,88.26826197443154,84.64038343278858
13369,87.5337395825437,88.2492767700329,84.62929190027315
13370,87.51374961163869,88.20685934064534,84.59224519219073
13371,87.50441561032619,88.15987615076449,84.55100589094685
13372,87.5011079815863,88.13531439354267,84.53312267100969
13373,87.50021817451027,88.14565036048737,84.54147481040931
13374,87.5000334581448,88.16788475563374,84.56073708292527
