index,prediction,label,err
164,189.24188,183.07884,-6.16304
165,176.03978,172.22952,-3.810257
166,151.02946,149.10655,-1.9229126
167,114.62353,114.61511,-0.008415222
168,74.46644,75.71071,1.2442703
169,41.026833,41.918804,0.8919716
170,10.892841,11.464194,0.57135296
171,0.18579865,0.9223419,0.73654324
172,0.0,0.0,0.0
173,7.1333876,7.683347,0.54995966
174,25.62882,25.25844,-0.3703804
175,52.695305,53.645588,0.95028305
176,93.18154,89.781555,-3.3999863
177,133.62805,125.929,-7.699051
178,162.06653,153.15848,-8.908051
179,174.08142,165.97557,-8.10585
180,171.88692,164.6611,-7.225815
181,161.34012,155.0351,-6.305023
182,148.60268,145.99753,-2.6051483
183,146.69083,144.60487,-2.0859528
184,152.76436,151.60571,-1.1586456
185,162.42291,162.21785,-0.20506287
186,173.59062,171.2226,-2.3680267
187,179.42625,176.16048,-3.2657776
188,178.73753,175.95915,-2.7783813
189,171.00172,168.4398,-2.5619202
190,150.06271,150.51694,0.45422363
191,121.66916,121.228294,-0.44086456
192,85.80821,84.53127,-1.2769394
193,46.76497,48.434067,1.6690979
194,20.41566,20.444017,0.028356552
195,2.8258634,3.5239086,0.69804525
196,0.0,0.040270343,0.040270343
197,0.0,0.0,0.0
198,6.597596,6.9245977,0.32700157
199,23.642471,23.098566,-0.54390526
200,50.03131,50.54514,0.5138283
201,86.76095,86.855415,0.09446716
202,122.86882,123.837425,0.96860504
203,153.13235,151.60382,-1.5285339
204,162.48544,165.00504,2.5195923
205,161.34923,166.53845,5.1892242
206,160.9038,163.48885,2.5850525
207,161.99231,162.00119,0.008880615
208,163.5977,162.56897,-1.0287323
209,159.6041,159.9666,0.36250305
210,147.13542,147.37732,0.24189758
211,120.25358,121.76972,1.5161438
212,84.56315,86.89298,2.329834
213,49.080246,51.450882,2.370636
214,22.814663,23.59074,0.7760773
215,4.8680506,6.4242806,1.5562301
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,7.3228846,8.011995,0.68911076
222,20.140884,19.691309,-0.44957542
223,41.38724,41.109108,-0.2781334
224,72.33321,72.76739,0.43417358
225,110.17122,109.401505,-0.76971436
226,141.15247,141.33548,0.18301392
227,160.85982,160.30695,-0.5528717
228,165.88348,165.13765,-0.74583435
229,161.42418,162.54718,1.1230011
230,161.26936,162.1064,0.83703613
231,165.95612,168.6785,2.7223816
232,175.72493,178.34653,2.6215973
233,176.94014,181.26266,4.322525
234,165.68745,168.70792,3.020462
235,138.26314,139.11472,0.85157776
236,98.85456,99.433784,0.57922363
237,61.809555,60.864876,-0.94467926
238,30.963053,31.953615,0.99056244
239,16.909054,14.775726,-2.1333275
240,8.627969,6.54209,-2.0858788
241,4.279789,3.4407291,-0.8390598
242,0.9627078,0.0,-0.9627078
243,1.2896668,0.8213417,-0.46832508
244,4.2453594,3.3186986,-0.9266608
245,10.064964,9.596568,-0.4683962
246,24.979744,23.58551,-1.3942337
247,51.6139,48.9102,-2.703701
248,85.954025,84.73553,-1.2184982
249,124.56566,123.37443,-1.1912308
250,154.30273,153.4975,-0.8052368
251,169.77196,167.10779,-2.6641693
252,164.18675,164.2136,0.02684021
253,153.51979,151.7709,-1.7488861
254,135.97389,138.09373,2.1198425
255,125.97991,126.51782,0.53791046
256,113.412575,113.553314,0.14073944
257,91.48763,93.99669,2.509056
258,64.93908,67.79427,2.855194
259,38.713055,40.904167,2.1911125
260,16.927649,19.946846,3.0191975
261,6.3886147,7.4289055,1.0402908
262,0.63389796,1.739052,1.105154
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.114139125,0.114139125
266,0.0,0.67879415,0.67879415
267,0.0,0.861557,0.861557
268,0.0,0.90100396,0.90100396
